oem,oem_norm,hr_raw,hr_code,matched
2573,2573,HR1622,HR 1622,1
257805,257805,HR8934,HR 8934,1
257806,257806,HR82438,HR 82438,0
257807,257807,HR80295,HR 80295,1
257811,257811,HR82211,HR 82211,0
257825,257825,HR80295,HR 80295,1
25786160,25786160,HR80078,HR 80078,1
257872,257872,HR82213,HR 82213,1
2583000X,2583000X,HR7299,HR 7299,1
2583001X,2583001X,HR7298,HR 7298,1
25830022,25830022,HR7279,HR 7279,1
2583002X,2583002X,HR7279,HR 7279,1
25830031,25830031,HR7965,HR 7965,1
2583003X,2583003X,HR7965,HR 7965,1
25830042,25830042,HR8125,HR 8125,1
25830052,25830052,HR8028,HR 8028,1
25830061,25830061,HR8709,HR 8709,1
25830070,25830070,HR7862,HR 7862,1
25830071,25830071,HR7862,HR 7862,1
25830072,25830072,HR7862,HR 7862,1
25830073,25830073,HR7862,HR 7862,1
25830074,25830074,HR7862,HR 7862,1
25830075,25830075,HR7862,HR 7862,1
2583007X,2583007X,HR7862,HR 7862,1
25830101,25830101,HR7951,HR 7951,1
2583010X,2583010X,HR7951,HR 7951,1
25830111,25830111,HR8116,HR 8116,1
25830121,25830121,HR8125,HR 8125,1
2583012X,2583012X,HR8125,HR 8125,1
25830131,25830131,HR8242,HR 8242,1
25830140,25830140,HR7977,HR 7977,1
25830141,25830141,HR7977,HR 7977,1
25830151,25830151,HR8188,HR 8188,1
25840.051,25840051,HR6609,HR 6609,1
259290,259290,HR8738,HR 8738,1
259296,259296,HR8868,HR 8868,1
259317,259317,HR7428,HR 7428,1
259.686,259686,HR6036,HR 6036,1
259.729,259729,HR7319,HR 7319,1
259.730,259730,HR7321,HR 7321,1
259.742,259742,HR7042,HR 7042,1
2598332,2598332,HR8624,HR 8624,1
25F8803,25F8803,HR7647,HR 7647,1
25S13779A17,25S13779A17,HR6490,HR 6490,1
25S90244A84,25S90244A84,HR7436,HR 7436,1
25TB1238,25TB1238,HR81417,HR 81417,1
2600,2600,HR3508,HR 3508,1
2600001023,2600001023,HR47030,HR 47030,0
2600001025,2600001025,HR46464,HR 46464,0
2602,2602,HR3501,HR 3501,1
2602795,2602795,HR80213,HR 80213,1
26031000,26031000,HR7772,HR 7772,1
26031001,26031001,HR7772,HR 7772,1
26031002,26031002,HR7772,HR 7772,1
2603100X,2603100X,HR7772,HR 7772,1
26032,26032,HR80490,HR 80490,1
260372,260372,HR7471,HR 7471,1
260.482,260482,HR7140,HR 7140,1
2605,2605,HR3507,HR 3507,1
260.529,260529,HR7032,HR 7032,1
260.561,260561,HR7151,HR 7151,1
26058.050,26058050,HR7378,HR 7378,1
260.591,260591,HR7032,HR 7032,1
260.626,260626,HR7035,HR 7035,1
260.646,260646,HR6239,HR 6239,1
2607,2607,HR3505,HR 3505,1
260747,260747,HR82217,HR 82217,0
260.813,260813,HR6245,HR 6245,1
260887,260887,HR82219,HR 82219,0
260.926,260926,HR7035,HR 7035,1
260.927,260927,HR7035,HR 7035,1
2610,2610,HR3520,HR 3520,1
261162,261162,HR80572,HR 80572,0
261273G,261273G,HR7453,HR 7453,1
261-28050,26128050,HR7378,HR 7378,1
261372,261372,HR7829,HR 7829,1
261-80050,26180050,HR6682,HR 6682,1
26210069,26210069,HR3611,HR 3611,1
262341,262341,HR8931,HR 8931,1
262342,262342,HR8935,HR 8935,1
262343,262343,HR82348,HR 82348,0
262344,262344,HR80560,HR 80560,0
2625001,2625001,HR6536,HR 6536,1
2625003-501,2625003501,HR6471,HR 6471,1
2625010,2625010,HR7280,HR 7280,1
2625010-502,2625010502,HR7280,HR 7280,1
2625016,2625016,HR6466,HR 6466,1
2625026,2625026,HR7281,HR 7281,1
2625028,2625028,HR8669,HR 8669,1
2636,2636,HR1161,HR 1161,1
263971,263971,HR80295,HR 80295,1
26510105,26510105,HR5623,HR 5623,0
26510146,26510146,HR6396,HR 6396,1
26510152,26510152,HR82110,HR 82110,0
26510166,26510166,HR82112,HR 82112,0
26510185,26510185,HR7050,HR 7050,1
26510231,26510231,HR80564,HR 80564,0
26510264,26510264,HR6376,HR 6376,1
26510314,26510314,HR6610,HR 6610,1
26510325,26510325,HR6377,HR 6377,1
26510337,26510337,HR8050,HR 8050,1
26510367,26510367,HR7812,HR 7812,1
26510389,26510389,HR7847,HR 7847,1
26510395,26510395,HR7753,HR 7753,1
26510396,26510396,HR80511,HR 80511,1
26510401,26510401,HR7761,HR 7761,1
26510426,26510426,HR7756,HR 7756,1
26510449,26510449,HR7846,HR 7846,1
26510456,26510456,HR7760,HR 7760,1
26510461,26510461,HR7626,HR 7626,1
26510481,26510481,HR7851,HR 7851,1
26510484,26510484,HR7759,HR 7759,1
26510498,26510498,HR7861,HR 7861,1
26510500,26510500,HR7855,HR 7855,1
26510501,26510501,HR7807,HR 7807,1
26510523,26510523,HR7748,HR 7748,1
26510526,26510526,HR7773,HR 7773,1
26510533,26510533,HR7763,HR 7763,1
26510571,26510571,HR7675,HR 7675,1
26510599,26510599,HR7732,HR 7732,1
26510647,26510647,HR8217,HR 8217,1
265110571,265110571,HR7675,HR 7675,1
2652,2652,HR1152,HR 1152,1
26526050,26526050,HR6597,HR 6597,1
26526.051,26526051,HR6597,HR 6597,1
2653,2653,HR1153,HR 1153,1
265515,265515,HR82187,HR 82187,0
2657,2657,HR1117,HR 1117,1
2660,2660,HR3502,HR 3502,1
266-014419,266014419,HR6022,HR 6022,1
266.021,266021,HR7108,HR 7108,1
266.089,266089,HR7041,HR 7041,1
266-14419,26614419,HR6022,HR 6022,1
2663,2663,HR2063/02,HR 2063/02,1
266.634,266634,HR6165,HR 6165,1
